PartNum,PartDescription,OnHandQty,Demand12M,DemandPrior12M,LeadTimeDays,MinOrderQty,CurrentMin
HEPA-1620,16x20 HEPA filter,42,620,540,14,12,80
HEPA-2020,20x20 HEPA filter,6,410,390,14,12,40
PRE-1620,16x20 pleated prefilter,180,2100,1980,7,24,120
N95-8210,N95 respirator 20ct,2400,18000,22000,21,160,4000
TYVEK-XL,Tyvek coverall XL,8,410,380,7,25,40
TYVEK-M,Tyvek coverall M,55,22,20,7,25,10
GLOVE-NIT-L,Nitrile glove L 100ct,90,28,24,10,10,40
TAPE-RED,Red barrier tape 1000ft,40,4,6,5,12,24
SW-P48W,48in Shield Wall panel,4,96,40,10,1,8
SW-P36W,36in Shield Wall panel,18,74,70,10,1,12
SW-CORNER,90 degree corner post,2,48,44,10,4,6
DOOR-OP-36,36in auto door operator,0,18,12,28,1,2
DOOR-OP-42,42in auto door operator,3,14,15,28,1,2
SENSOR-BEAM,Safety beam pair,1,36,34,21,1,2
OIL-HYD,Hydraulic closer oil 1L,22,3,2,18,6,8
BOOT-DISP,Disposable boot cover 100ct,12,310,280,9,10,20
RESP-CART,P100 cartridge pair,0,220,90,16,8,30
WIPES-SURF,Surface disinfectant wipes,140,860,840,8,12,60
